Sd_id ,Sd_content,Sd_domain,Sd_type,Sd_weight,Sd_charges,Sd_addr,Ds_Addr,Customer_Cust_ID
690,Healthcare,Domestic,Regular,553,1210,1800 Block of 26TH ST,1200 Block of JACKSON ST,230
933,Healthcare,International,Express,810,1114,2600 Block of ALEMANY BL,700 Block of HAMPSHIRE ST,3189
261,Luggage,Domestic,Express,994,1020,BARTLETT ST / 23RD ST,500 Block of HAIGHT ST,2216
445,Home Furnishing,Domestic,Express,598,1351,1300 Block of 7TH AV,300 Block of 9TH ST,1904
722,Electronics,International,Express,412,566,0 Block of EUREKA ST,1800 Block of VANNESS AV,7342
129,Food and Beverages,Domestic,Regular,379,590,700 Block of VANNESS AV,500 Block of LEAVENWORTH ST,7633
489,Fashion,Domestic,Regular,892,1407,200 Block of BERRY ST,CARROLL AV / JENNINGS ST,2154
165,Industrial Equipments,Domestic,Regular,347,786,1100 Block of FRANCISCO ST,1000 Block of MARKET ST,5543
164,Hazardous Goods,International,Express,457,855,100 Block of NEWMONTGOMERY ST,600 Block of SOUTH VAN NESS AV,2332
364,Automotive,International,Express,957,1182,200 Block of SCOTT ST,2600 Block of MISSION ST,4094
469,Electronics,International,Regular,23,25,BELVEDERE ST / WALLER ST,0 Block of CEDAR ST,3042
158,Healthcare,Domestic,Express,479,861,800 Block of BRYANT ST,500 Block of FREDERICK ST,2220
337,Electronics,Domestic,Express,305,834,1300 Block of CALIFORNIA ST,0 Block of RAUSCH ST,4988
634,Healthcare,International,Express,939,1446,300 Block of CHENERY ST,BUSH ST / BUCHANAN ST,175
577,Fashion,Domestic,Regular,679,1455,2600 Block of 18TH ST,800 Block of BRYANT ST,4233
907,Electronics,International,Express,803,1020,800 Block of 30TH AV,1100 Block of MARKET ST,4351
870,Construction,Domestic,Regular,783,1042,800 Block of GENEVA AV,300 Block of 4TH ST,5578
982,Industrial Equipments,Domestic,Regular,432,915,800 Block of BRYANT ST,100 Block of TOWNSEND ST,4523
351,Industrial Equipments,Domestic,Regular,776,1053,15TH ST / SANCHEZ ST,1700 Block of FULTON ST,2972
328,Healthcare,Domestic,Express,710,1066,900 Block of ELLSWORTH ST,400 Block of 28TH ST,6153
242,Construction,Domestic,Regular,959,1253,600 Block of FRANCISCO ST,FELL ST / MASONIC AV,4852
421,Automotive,International,Regular,147,535,800 Block of BRYANT ST,900 Block of RANDOLPH ST,8106
6,Arts and crafts,International,Express,613,1256,800 Block of BRYANT ST,0 Block of 6TH ST,3917
384,Luggage,Domestic,Regular,590,1033,ELLIS ST / LAGUNA ST,0 Block of HYDE ST,9377
286,Electronics,Domestic,Regular,193,817,100 Block of STEUART ST,900 Block of VALENCIA ST,5387
892,Luggage,Domestic,Regular,879,1037,700 Block of FOLSOM ST,300 Block of ARBALLO DR,6513
558,Industrial Equipments,Domestic,Regular,275,951,1600 Block of VANNESS AV,100 Block of PHELAN AV,3965
481,Construction,International,Regular,319,770,800 Block of MARKET ST,0 Block of GORDON ST,8893
155,Hazardous Goods,Domestic,Express,52,293,800 Block of BRYANT ST,600 Block of VALENCIA ST,1897
771,Electronics,Domestic,Regular,702,1414,SHOTWELL ST / 17TH ST,EDDY ST / HYDE ST,390
945,Healthcare,Domestic,Express,299,524,1500 Block of BAKER ST,LIPPARD AV / BOSWORTH ST,3633
719,Arts and crafts,Domestic,Regular,930,1183,100 Block of BERRY ST,KERN ST / DIAMOND ST,7828
493,Home Furnishing,Domestic,Regular,314,566,700 Block of HOWARD ST,HARRISON ST / 3RD ST,2241
